day,n_obs,n_jumps,lambda_hat,mu_J_hat,sigma_J_hat,mu_hat,sigma_hat,jump_set,symbol
2025-05-01,86401,33,33.0,1.4662086856416302e-05,0.0012379217708153325,0.024245957950573507,0.014782584485313987,raw_lomn,BTCUSDT
2026-05-01,86401,60,60.0,-0.00013382088645380225,0.0013144749182684046,0.024792091272296278,0.013443962267167368,raw_lomn,BTCUSDT
2026-05-02,86401,152,152.0,3.0034603449787634e-05,0.000637567235470105,0.006427860088604501,0.007859918549383385,raw_lomn,BTCUSDT
2026-05-03,86401,124,124.0,-7.230335613550218e-05,0.0007895375053641978,-0.0015912594368214807,0.009606771042202233,raw_lomn,BTCUSDT
2026-05-04,86401,55,55.0,-2.735338005357009e-05,0.0021289526293856932,0.01551130303445366,0.022108130770736218,raw_lomn,BTCUSDT
2026-05-05,86401,37,37.0,-0.0001414429179100129,0.0014022809972006728,0.011946423591805838,0.014882419380390319,raw_lomn,BTCUSDT
2026-05-06,86401,29,29.0,-0.0006530192152512822,0.0012913036939622747,0.006648225325388745,0.015536717488492542,raw_lomn,BTCUSDT
2026-05-07,86401,30,30.0,-0.0008158893203446501,0.0012314666880186642,-0.01669770290738891,0.014268212768624246,raw_lomn,BTCUSDT
2026-05-08,86401,52,52.0,-0.00032236054831163557,0.0011549602236532264,0.004315880276313224,0.012688158522189933,raw_lomn,BTCUSDT
2026-05-09,86401,54,54.0,1.6600566573031648e-05,0.0005735222037466543,0.0059118502538588495,0.00679775512837729,raw_lomn,BTCUSDT
2026-05-10,86401,107,107.0,8.943074343752639e-05,0.0010511971960079987,0.017830508609610673,0.011949425990789233,raw_lomn,BTCUSDT
2026-05-11,86401,46,46.0,-0.00043818985480972486,0.0013260488904418759,-0.004367931074767075,0.014226954614936812,raw_lomn,BTCUSDT
2026-05-12,86401,60,60.0,-0.0002510795395399631,0.0011396453737690924,-0.016007296813814357,0.01201012703313779,raw_lomn,BTCUSDT
2026-05-13,86401,50,50.0,-0.00032320001983002553,0.0010919177952537036,-0.01428742280079918,0.012033922287725204,raw_lomn,BTCUSDT
2026-05-14,86401,47,47.0,-0.0002990134180792927,0.0013824870555752672,0.02292078551927462,0.014883400179928096,raw_lomn,BTCUSDT
2025-05-01,86401,75,75.0,-7.17909066353665e-05,0.0010098071824847115,0.025358040807528025,0.014778280028530348,ml_refined,BTCUSDT
2026-05-01,86401,107,107.0,2.2364539600022042e-05,0.0010734434514816677,0.025273421493910715,0.013435523360548485,ml_refined,BTCUSDT
2026-05-02,86401,175,175.0,7.15155252421137e-05,0.0005830774108469705,0.006549559229479308,0.007854926913229778,ml_refined,BTCUSDT
2026-05-03,86401,188,188.0,-2.6161613184628093e-05,0.0006675236143264693,-0.0009012678581487968,0.009594925308454063,ml_refined,BTCUSDT
2026-05-04,86401,120,120.0,-4.6152741439827355e-05,0.0015875185224517362,0.016831879549787356,0.022053550506194883,ml_refined,BTCUSDT
2026-05-05,86401,67,67.0,-0.0001178122778727272,0.0011400453793330423,0.0119433646613827,0.014875041310897284,ml_refined,BTCUSDT
2026-05-06,86401,64,64.0,-0.00019541608272050093,0.0011620978891537144,0.007100770403767864,0.015526881411325718,ml_refined,BTCUSDT
2026-05-07,86401,66,66.0,-0.00033729925410677907,0.0010935126211082356,-0.01667743586470838,0.014248849498543235,ml_refined,BTCUSDT
2026-05-08,86401,100,100.0,-8.888104615959236e-05,0.0009817874670297914,0.004591337480407938,0.012677055812421699,ml_refined,BTCUSDT
2026-05-09,86401,86,86.0,0.00015363773601127364,0.00046252069643284245,0.005083599282393577,0.006785089259522129,ml_refined,BTCUSDT
2026-05-10,86401,150,150.0,6.513349825841174e-05,0.0009185729004792164,0.017295147761222488,0.011939076538266346,ml_refined,BTCUSDT
2026-05-11,86401,79,79.0,-0.0002638465374429327,0.0011526900595032034,-0.003919116532560936,0.014214787133090613,ml_refined,BTCUSDT
2026-05-12,86401,94,94.0,-0.00016166177512283087,0.0009956470850752024,-0.016604336557367712,0.011977634786538651,ml_refined,BTCUSDT
2026-05-13,86401,91,91.0,-0.00024368868133989245,0.0009073690666070252,-0.013472375555676654,0.01202522535952044,ml_refined,BTCUSDT
2026-05-14,86401,105,105.0,6.4850313745151445e-06,0.001123018428605829,0.022601901116894422,0.01486037414762425,ml_refined,BTCUSDT
2025-05-01,86401,37,37.0,9.519147448734479e-05,0.0010429474041230974,0.02502760652008741,0.01478296348730011,persist_truth,BTCUSDT
2026-05-01,86401,56,56.0,4.067115822046853e-05,0.0012326934271836786,0.025013944245088727,0.013456516686351415,persist_truth,BTCUSDT
2026-05-02,86401,108,108.0,4.533463403566529e-05,0.0006804096021366887,0.006212219415095965,0.007864032943461555,persist_truth,BTCUSDT
2026-05-03,86401,103,103.0,-3.7084990868890776e-05,0.0007664234896598226,-0.0011047301544554367,0.00960677943637695,persist_truth,BTCUSDT
2026-05-04,86401,63,63.0,-6.244076911806071e-05,0.0018741300933325297,0.014214906343797375,0.022114048773524936,persist_truth,BTCUSDT
2026-05-05,86401,31,31.0,-0.0003795352440993078,0.0012220571224980086,0.012058904560526953,0.014881792100482107,persist_truth,BTCUSDT
2026-05-06,86401,20,20.0,-0.00014724615185128797,0.001289285016644234,0.006412154693869055,0.015531105916202326,persist_truth,BTCUSDT
2026-05-07,86401,27,27.0,-0.0003913682475342081,0.0011986378403428483,-0.016532169296353483,0.014265319534956156,persist_truth,BTCUSDT
2026-05-08,86401,42,42.0,-0.00013128623083797074,0.0011144576915111564,0.0034539142566109076,0.012688843998303596,persist_truth,BTCUSDT
2026-05-09,86401,41,41.0,0.0001485958611278743,0.0005032742398953329,0.005636823669436195,0.0067983424723645994,persist_truth,BTCUSDT
2026-05-10,86401,99,99.0,7.211710012599341e-05,0.0010175700720430375,0.017232988545584384,0.011941435028205568,persist_truth,BTCUSDT
2026-05-11,86401,37,37.0,-0.00024048845124580466,0.0012623016383835873,-0.004976411173609014,0.014234394619276234,persist_truth,BTCUSDT
2026-05-12,86401,46,46.0,-0.0002627906836445233,0.0011168504148379263,-0.016476537753892597,0.011983310567008297,persist_truth,BTCUSDT
2026-05-13,86401,38,38.0,-0.00031029110204099607,0.0010681796505655138,-0.013783375538974692,0.012031671276045456,persist_truth,BTCUSDT
2026-05-14,86401,40,40.0,-5.034503696821346e-06,0.0012394571139265796,0.021612339366425502,0.01487628077060887,persist_truth,BTCUSDT
2026-05-01,86401,43,43.0,-0.00011982221814767117,0.0016574618453727252,0.016896919486068866,0.017268819470952677,raw_lomn,ETHUSDT
2026-05-02,86401,77,77.0,3.3377620753793626e-05,0.0009491599434587339,0.010273745304621143,0.010566176254208592,raw_lomn,ETHUSDT
2026-05-03,86401,80,80.0,-9.348053010684864e-05,0.0013234049110260886,0.0018972421829206382,0.014831894859039374,raw_lomn,ETHUSDT
2026-05-04,86401,42,42.0,5.205485893408767e-05,0.0026780446781191924,0.010068748513961976,0.02813671985840841,raw_lomn,ETHUSDT
2026-05-05,86401,35,35.0,-0.0005474906889291325,0.001837450054318318,0.006737984102050389,0.0198329111977633,raw_lomn,ETHUSDT
2026-05-06,86401,44,44.0,-0.0004535470246778745,0.0018714024663147298,-0.003619576619963376,0.02239056592489578,raw_lomn,ETHUSDT
2026-05-07,86400,33,33.0,-0.0008423016265698312,0.0017464648971696553,-0.0258759426721765,0.020628946577854492,raw_lomn,ETHUSDT
2026-05-08,86401,34,34.0,-0.0005035751723345041,0.0016017110051215538,0.009435594009636568,0.017529181459379803,raw_lomn,ETHUSDT
2026-05-09,86401,24,24.0,-6.687877953363379e-06,0.0009805416645276518,0.008688339244726218,0.010289763920865872,raw_lomn,ETHUSDT
2026-05-10,86401,90,90.0,-1.2530543641266058e-05,0.0015526902225703966,0.01789218936727122,0.017515999337031945,raw_lomn,ETHUSDT
2026-05-11,86401,38,38.0,-0.0006851906743263513,0.0016591334270307134,-0.01219302525754074,0.01872569003022675,raw_lomn,ETHUSDT
2026-05-12,86401,60,60.0,-0.0005909176300268104,0.0014702806354444545,-0.029053170766931678,0.017883880815639252,raw_lomn,ETHUSDT
2026-05-13,86401,37,37.0,-0.0006048519954151925,0.0017921183560321468,-0.00661089727986759,0.01783708922042536,raw_lomn,ETHUSDT
2026-05-14,86401,38,38.0,-0.0005806446940995221,0.0016069519678644122,0.010193880838043646,0.019528598316564165,raw_lomn,ETHUSDT
2026-05-01,86401,90,90.0,-3.5311029214193625e-06,0.0012726823448580675,0.016938849288179774,0.01726049763505383,ml_refined,ETHUSDT
2026-05-02,86401,86,86.0,6.362218319216777e-05,0.0008930691647777493,0.010592827186579192,0.010562687003932744,ml_refined,ETHUSDT
2026-05-03,86401,122,122.0,-6.074179539555711e-05,0.0011189578668906412,0.002767594077534632,0.014828662596468265,ml_refined,ETHUSDT
2026-05-04,86401,91,91.0,5.398887334241053e-05,0.002010404674681701,0.009023116259906535,0.028123644504493974,ml_refined,ETHUSDT
2026-05-05,86401,69,69.0,-0.0001918094841591372,0.001514700248731706,0.006511519876391205,0.019819429558547597,ml_refined,ETHUSDT
2026-05-06,86401,78,78.0,-5.407829195307866e-06,0.0016042138519587015,-0.0045506522688667376,0.022365502554271336,ml_refined,ETHUSDT
2026-05-07,86400,60,60.0,-0.0004317566373946609,0.0015261949204363977,-0.025249335205693665,0.020619367844182796,ml_refined,ETHUSDT
2026-05-08,86401,60,60.0,-0.00025642261138683804,0.0013580392302308692,0.009917007311512505,0.01752497811569677,ml_refined,ETHUSDT
2026-05-09,86401,38,38.0,7.267199656509729e-05,0.0008429554834755139,0.008208115526805526,0.010279471160627203,ml_refined,ETHUSDT
2026-05-10,86401,129,129.0,2.107776685862252e-05,0.0013464798556757076,0.018245907336205736,0.01749421816474012,ml_refined,ETHUSDT
2026-05-11,86401,73,73.0,-0.00027503568832596656,0.001432633469275256,-0.012205277832983686,0.01871534686032643,ml_refined,ETHUSDT
2026-05-12,86401,98,98.0,-0.00041861499359677147,0.001289157563530625,-0.027593388742084567,0.017867391529569586,ml_refined,ETHUSDT
2026-05-13,86401,70,70.0,-0.00035746154422710164,0.0014472982225757394,-0.006178898250225698,0.017835072199738122,ml_refined,ETHUSDT
2026-05-14,86401,73,73.0,-0.00032582583243103916,0.0013866869373999767,0.011791355894110076,0.0195119367256815,ml_refined,ETHUSDT
2026-05-01,86401,51,51.0,7.469977310457651e-06,0.0014375121668727736,0.01732806850913665,0.017267859093759642,persist_truth,ETHUSDT
2026-05-02,86401,58,58.0,0.00015299271472806722,0.0009714402099829654,0.01009755188806106,0.010572209276209074,persist_truth,ETHUSDT
2026-05-03,86401,67,67.0,-3.5685685608021495e-05,0.0012973314841361605,0.003016748848725602,0.01482762655851398,persist_truth,ETHUSDT
2026-05-04,86401,42,42.0,-0.00010531027526457171,0.0023805822886751086,0.009716158734642794,0.028136683352607817,persist_truth,ETHUSDT
2026-05-05,86401,32,32.0,-0.00045984576142238387,0.001675292663998703,0.0060109790495656715,0.019829010483231654,persist_truth,ETHUSDT
2026-05-06,86401,34,34.0,-0.00018895683377210848,0.0018078738578120935,-0.005109847020983185,0.022378130070635306,persist_truth,ETHUSDT
2026-05-07,86400,30,30.0,-0.000757526375081774,0.0015822733137979168,-0.025765834356024354,0.020628831778877275,persist_truth,ETHUSDT
2026-05-08,86401,25,25.0,-0.0003468983400893677,0.001565439978495098,0.008128651402070761,0.017537247037751846,persist_truth,ETHUSDT
2026-05-09,86401,15,15.0,0.00038267985058044,0.0007678919010651637,0.008361536632287607,0.010295161851317585,persist_truth,ETHUSDT
2026-05-10,86401,78,78.0,0.00010902393183579526,0.0015359855650155544,0.018028102012484896,0.01751852744859499,persist_truth,ETHUSDT
2026-05-11,86401,35,35.0,-0.0005577065895043936,0.00157082559020662,-0.01266249425430918,0.018724763131912757,persist_truth,ETHUSDT
2026-05-12,86401,36,36.0,-0.0004224606729883451,0.0014949672454648874,-0.028899809869701715,0.017884019843003307,persist_truth,ETHUSDT
2026-05-13,86401,31,31.0,-0.0003283939153563108,0.0016817180265952466,-0.007694600215505326,0.017847179967559787,persist_truth,ETHUSDT
2026-05-14,86401,34,34.0,-0.0001269646810056447,0.0016206919492206169,0.01060315568733044,0.019525496397903498,persist_truth,ETHUSDT
2026-05-01,86401,130,130.0,-0.0001229903433431272,0.001152168779849035,0.009714761696537996,0.0178715367454922,raw_lomn,SOLUSDT
2026-05-02,86401,39,39.0,-0.00020358235140609354,0.0014009943065202027,0.006308824352820618,0.013052247642174282,raw_lomn,SOLUSDT
2026-05-03,86401,51,51.0,-0.0002450221502877463,0.0011529541630706844,-0.004759515016922055,0.013270796234322531,raw_lomn,SOLUSDT
2026-05-04,86401,53,53.0,6.180297849099128e-05,0.0023132889245814988,0.0026626798533408913,0.026324167645884463,raw_lomn,SOLUSDT
2026-05-05,86401,20,20.0,6.728085944414097e-05,0.0019677567023231868,0.02771376624199051,0.019543951109193148,raw_lomn,SOLUSDT
2026-05-06,86401,56,56.0,-0.00027573042008528185,0.001949083737923052,0.03160146553559464,0.02459085871594226,raw_lomn,SOLUSDT
2026-05-07,86401,51,51.0,-0.0004612236853641932,0.001885681969474005,-0.00766165287547999,0.026270445567515403,raw_lomn,SOLUSDT
2026-05-08,86401,43,43.0,4.728134112034494e-05,0.0021907688310504993,0.039303749379259297,0.024707657816392788,raw_lomn,SOLUSDT
2026-05-09,86401,26,26.0,0.00040985876968594544,0.0016392382228315374,0.009850773508464836,0.01946196795235008,raw_lomn,SOLUSDT
2026-05-10,86401,72,72.0,-0.00020955912428694608,0.0023234827005346277,0.03521688752464611,0.027110188507219316,raw_lomn,SOLUSDT
2026-05-11,86401,36,36.0,-8.247134664222482e-05,0.0026115461664600174,0.010134240500116796,0.03027358254530813,raw_lomn,SOLUSDT
2026-05-12,86401,62,62.0,-0.0006322465680467918,0.001771518424473817,-0.032648639758079794,0.024750254579994257,raw_lomn,SOLUSDT
2026-05-13,86401,56,56.0,-0.0011687921209828328,0.0023392961079440355,-0.03227477195847869,0.02767350329353198,raw_lomn,SOLUSDT
2026-05-14,86401,49,49.0,-0.0007000716679441779,0.00188221905143464,0.010594885003960691,0.025322274317092636,raw_lomn,SOLUSDT
2026-05-01,86401,191,191.0,-2.5496662798318047e-06,0.0009781323818836506,0.008530139581781164,0.017849336466443374,ml_refined,SOLUSDT
2026-05-02,86401,45,45.0,-0.0001950644472468868,0.0012558886543971208,0.006668417874771185,0.013046678847994611,ml_refined,SOLUSDT
2026-05-03,86401,84,84.0,-4.682382296088734e-05,0.0009543633554706157,-0.004877441162807595,0.013241800704905191,ml_refined,SOLUSDT
2026-05-04,86401,106,106.0,-6.714628803580391e-07,0.0017885060674057538,0.0032622205374315304,0.02628535530064116,ml_refined,SOLUSDT
2026-05-05,86401,57,57.0,5.3891232880983374e-05,0.0014402964905357342,0.026894034071527483,0.019524648280760136,ml_refined,SOLUSDT
2026-05-06,86401,112,112.0,-1.4602870826472905e-05,0.0015951018151033197,0.030734855630186318,0.024564921042667,ml_refined,SOLUSDT
2026-05-07,86401,126,126.0,-0.00013183698852777445,0.0014677132072318045,-0.010707583254591908,0.026246225830068283,ml_refined,SOLUSDT
2026-05-08,86401,85,85.0,0.00013881776274830983,0.0017290269902595654,0.03983732681955165,0.024695121167708094,ml_refined,SOLUSDT
2026-05-09,86401,43,43.0,0.0002683787439225418,0.0014184029848479775,0.009958493591911647,0.019447636530319806,ml_refined,SOLUSDT
2026-05-10,86401,138,138.0,2.7786670938821263e-05,0.0018301195833678493,0.03250889123277284,0.027090075132421745,ml_refined,SOLUSDT
2026-05-11,86401,86,86.0,6.509911653439839e-05,0.002019070267291629,0.010345207576066263,0.030246672220336536,ml_refined,SOLUSDT
2026-05-12,86401,126,126.0,-0.00023494948639061225,0.0014817014807693733,-0.03504647089897589,0.02468675228105268,ml_refined,SOLUSDT
2026-05-13,86401,119,119.0,-0.000542699835627734,0.0018727683314923341,-0.03143212671319676,0.027644345732864364,ml_refined,SOLUSDT
2026-05-14,86401,129,129.0,-0.00017857653821593957,0.0014863364639199714,0.009366787877810043,0.02528604669502481,ml_refined,SOLUSDT
2026-05-01,86401,93,93.0,-4.13017210613834e-05,0.0011332886694211722,0.008761274385602988,0.017870991638532997,persist_truth,SOLUSDT
2026-05-02,86401,34,34.0,-0.00012539405170537942,0.0012996638436197608,0.006427696928350826,0.013051324685333782,persist_truth,SOLUSDT
2026-05-03,86401,43,43.0,-0.0001831818266122347,0.0011053278657233503,-0.004876897715744105,0.013263283748509273,persist_truth,SOLUSDT
2026-05-04,86401,49,49.0,-0.00011414549585987897,0.002036946866450729,0.0014205261386186223,0.02632250520417221,persist_truth,SOLUSDT
2026-05-05,86401,17,17.0,0.0002878226378496486,0.0016851616811290081,0.027008378854043707,0.019542237632833772,persist_truth,SOLUSDT
2026-05-06,86401,39,39.0,-0.00015628481071692463,0.001900008321736417,0.03352085230801227,0.02460735183965905,persist_truth,SOLUSDT
2026-05-07,86401,49,49.0,-0.0003583748429808668,0.0016455279338295648,-0.006416410228426511,0.02627369735285438,persist_truth,SOLUSDT
2026-05-08,86401,39,39.0,0.00041592949730495085,0.001976186695406976,0.03895141795083775,0.024709952968149273,persist_truth,SOLUSDT
2026-05-09,86401,15,15.0,0.00037181918225067295,0.001610533797236309,0.010278034253699869,0.0194625029962741,persist_truth,SOLUSDT
2026-05-10,86401,78,78.0,-3.583246746097793e-05,0.002123653363449709,0.03364202484402061,0.027110997262146774,persist_truth,SOLUSDT
2026-05-11,86401,30,30.0,-0.00020837893131018249,0.0025427816394739395,0.00940659662087619,0.030308755487694544,persist_truth,SOLUSDT
2026-05-12,86401,56,56.0,-0.0004099020084355555,0.00160858780557987,-0.03147841350259823,0.024735675725944328,persist_truth,SOLUSDT
2026-05-13,86401,46,46.0,-0.0010041597594870164,0.002243830803299616,-0.03226668327001187,0.02767531681878508,persist_truth,SOLUSDT
2026-05-14,86401,41,41.0,-0.0005733422228445176,0.0016804653810620087,0.00865734590332961,0.025290337838482148,persist_truth,SOLUSDT
