symbol,day,regime,method,n_hours,n_truth,TP,FP,FN,precision,recall,F1
BTCUSDT,2026-05-13,low,raw_lomn,9,1,1,0,0,1.0,1.0,1.0
BTCUSDT,2026-05-13,low,lomn_xgb,9,1,1,3,0,0.25,1.0,0.4
BTCUSDT,2026-05-13,low,lee_mykland,9,1,1,1378,0,0.0007251631617113851,1.0,0.0014492753623188406
BTCUSDT,2026-05-13,mid,raw_lomn,9,9,6,9,3,0.4,0.6666666666666666,0.5
BTCUSDT,2026-05-13,mid,lomn_xgb,9,9,7,21,2,0.25,0.7777777777777778,0.3783783783783784
BTCUSDT,2026-05-13,mid,lee_mykland,9,9,9,1254,0,0.007125890736342043,1.0,0.014150943396226415
BTCUSDT,2026-05-13,high,raw_lomn,6,28,21,13,7,0.6176470588235294,0.75,0.6774193548387097
BTCUSDT,2026-05-13,high,lomn_xgb,6,28,24,35,4,0.4067796610169492,0.8571428571428571,0.5517241379310346
BTCUSDT,2026-05-13,high,lee_mykland,6,28,23,522,5,0.04220183486238532,0.8214285714285714,0.08027923211169286
BTCUSDT,2026-05-14,low,raw_lomn,7,1,1,0,0,1.0,1.0,1.0
BTCUSDT,2026-05-14,low,lomn_xgb,7,1,1,2,0,0.3333333333333333,1.0,0.5
BTCUSDT,2026-05-14,low,lee_mykland,7,1,1,1155,0,0.0008650519031141869,1.0,0.001728608470181504
BTCUSDT,2026-05-14,mid,raw_lomn,7,4,1,5,3,0.16666666666666666,0.25,0.2
BTCUSDT,2026-05-14,mid,lomn_xgb,7,4,3,10,1,0.23076923076923078,0.75,0.3529411764705882
BTCUSDT,2026-05-14,mid,lee_mykland,7,4,3,979,1,0.003054989816700611,0.75,0.006085192697768763
BTCUSDT,2026-05-14,high,raw_lomn,10,35,21,19,14,0.525,0.6,0.56
BTCUSDT,2026-05-14,high,lomn_xgb,10,35,28,61,7,0.3146067415730337,0.8,0.45161290322580644
BTCUSDT,2026-05-14,high,lee_mykland,10,35,27,811,8,0.032219570405727926,0.7714285714285715,0.06185567010309279
ETHUSDT,2026-05-13,low,raw_lomn,11,1,1,4,0,0.2,1.0,0.33333333333333337
ETHUSDT,2026-05-13,low,lomn_xgb,11,1,1,6,0,0.14285714285714285,1.0,0.25
ETHUSDT,2026-05-13,low,lee_mykland,11,1,1,1706,0,0.0005858230814294083,1.0,0.0011709601873536298
ETHUSDT,2026-05-13,mid,raw_lomn,6,1,1,1,0,0.5,1.0,0.6666666666666666
ETHUSDT,2026-05-13,mid,lomn_xgb,6,1,1,9,0,0.1,1.0,0.18181818181818182
ETHUSDT,2026-05-13,mid,lee_mykland,6,1,1,809,0,0.0012345679012345679,1.0,0.0024660912453760785
ETHUSDT,2026-05-13,high,raw_lomn,7,29,17,13,12,0.5666666666666667,0.5862068965517241,0.576271186440678
ETHUSDT,2026-05-13,high,lomn_xgb,7,29,24,29,5,0.4528301886792453,0.8275862068965517,0.5853658536585366
ETHUSDT,2026-05-13,high,lee_mykland,7,29,18,526,11,0.03308823529411765,0.6206896551724138,0.06282722513089005
ETHUSDT,2026-05-14,low,raw_lomn,5,0,0,1,0,0.0,1.0,0.0
ETHUSDT,2026-05-14,low,lomn_xgb,5,0,0,2,0,0.0,1.0,0.0
ETHUSDT,2026-05-14,low,lee_mykland,5,0,0,866,0,0.0,1.0,0.0
ETHUSDT,2026-05-14,mid,raw_lomn,10,5,3,3,2,0.5,0.6,0.5454545454545454
ETHUSDT,2026-05-14,mid,lomn_xgb,10,5,5,7,0,0.4166666666666667,1.0,0.5882352941176471
ETHUSDT,2026-05-14,mid,lee_mykland,10,5,4,1319,1,0.0030234315948601664,0.8,0.006024096385542169
ETHUSDT,2026-05-14,high,raw_lomn,9,29,22,9,7,0.7096774193548387,0.7586206896551724,0.7333333333333333
ETHUSDT,2026-05-14,high,lomn_xgb,9,29,25,34,4,0.423728813559322,0.8620689655172413,0.5681818181818181
ETHUSDT,2026-05-14,high,lee_mykland,9,29,23,530,6,0.04159132007233273,0.7931034482758621,0.07903780068728523
SOLUSDT,2026-05-13,low,raw_lomn,9,2,2,6,0,0.25,1.0,0.4
SOLUSDT,2026-05-13,low,lomn_xgb,9,2,2,12,0,0.14285714285714285,1.0,0.25
SOLUSDT,2026-05-13,low,lee_mykland,9,2,2,1704,0,0.0011723329425556857,1.0,0.00234192037470726
SOLUSDT,2026-05-13,mid,raw_lomn,7,5,4,3,1,0.5714285714285714,0.8,0.6666666666666666
SOLUSDT,2026-05-13,mid,lomn_xgb,7,5,5,12,0,0.29411764705882354,1.0,0.45454545454545453
SOLUSDT,2026-05-13,mid,lee_mykland,7,5,4,1142,1,0.0034904013961605585,0.8,0.006950477845351868
SOLUSDT,2026-05-13,high,raw_lomn,8,39,27,14,12,0.6585365853658537,0.6923076923076923,0.675
SOLUSDT,2026-05-13,high,lomn_xgb,8,39,37,51,2,0.42045454545454547,0.9487179487179487,0.5826771653543308
SOLUSDT,2026-05-13,high,lee_mykland,8,39,28,578,11,0.0462046204620462,0.717948717948718,0.08682170542635657
SOLUSDT,2026-05-14,low,raw_lomn,7,2,2,0,0,1.0,1.0,1.0
SOLUSDT,2026-05-14,low,lomn_xgb,7,2,2,6,0,0.25,1.0,0.4
SOLUSDT,2026-05-14,low,lee_mykland,7,2,2,1363,0,0.0014652014652014652,1.0,0.002926115581565472
SOLUSDT,2026-05-14,mid,raw_lomn,9,8,3,4,5,0.42857142857142855,0.375,0.39999999999999997
SOLUSDT,2026-05-14,mid,lomn_xgb,9,8,5,23,3,0.17857142857142858,0.625,0.2777777777777778
SOLUSDT,2026-05-14,mid,lee_mykland,9,8,8,1190,0,0.00667779632721202,1.0,0.013266998341625208
SOLUSDT,2026-05-14,high,raw_lomn,8,31,20,20,11,0.5,0.6451612903225806,0.5633802816901409
SOLUSDT,2026-05-14,high,lomn_xgb,8,31,26,67,5,0.27956989247311825,0.8387096774193549,0.41935483870967744
SOLUSDT,2026-05-14,high,lee_mykland,8,31,26,540,5,0.045936395759717315,0.8387096774193549,0.08710217755443886
